StartDatetime,BiddingZone,ActualConsumption
2018-01-01 06:00:00,FR,49333.0
2018-01-02 12:00:00,FR,68827.0
2018-01-04 12:00:00,FR,67847.0
2018-01-05 13:00:00,FR,65603.0
2018-01-06 01:00:00,FR,56850.0
2018-01-07 15:00:00,FR,57339.0
2018-01-08 01:00:00,FR,57154.0
2018-01-08 19:00:00,FR,74522.0
2018-01-09 05:00:00,FR,59091.0
2018-01-09 07:00:00,FR,71819.0
2018-01-09 14:00:00,FR,70460.0
2018-01-09 15:00:00,FR,68668.0
2018-01-10 02:00:00,FR,58622.0
2018-01-10 03:00:00,FR,56036.0
2018-01-10 21:00:00,FR,65488.0
2018-01-11 09:00:00,FR,73602.0
2018-01-12 02:00:00,FR,61018.0
2018-01-12 11:00:00,FR,75375.0
2018-01-12 20:00:00,FR,71338.0
2018-01-12 21:00:00,FR,67851.0
2018-01-13 08:00:00,FR,65610.0
2018-01-01 16:00:00,FR,53522.0
2018-01-01 23:00:00,FR,59383.0
2018-01-02 15:00:00,FR,64144.0
2018-01-03 10:00:00,FR,66301.0
2018-01-03 18:00:00,FR,70001.0
2018-01-04 13:00:00,FR,66864.0
2018-01-05 12:00:00,FR,67131.0
2018-01-15 16:00:00,FR,70795.0
2018-01-15 23:00:00,FR,67115.0
2018-01-16 06:00:00,FR,64374.0
2018-01-17 12:00:00,FR,73714.0
2018-01-06 05:00:00,FR,51169.0
2018-01-06 07:00:00,FR,55189.0
2018-01-06 14:00:00,FR,60432.0
2018-01-06 15:00:00,FR,58449.0
2018-01-08 08:00:00,FR,71302.0
2018-01-08 09:00:00,FR,71856.0
2018-01-18 22:00:00,FR,65588.0
2018-01-19 10:00:00,FR,73555.0
2018-01-10 00:00:00,FR,63050.0
2018-01-10 16:00:00,FR,65942.0
2018-01-10 23:00:00,FR,66351.0
2018-01-11 01:00:00,FR,60880.0
2018-01-12 10:00:00,FR,75468.0
2018-01-12 18:00:00,FR,75475.0
2018-01-13 02:00:00,FR,61603.0
2018-01-13 03:00:00,FR,58830.0
2018-01-13 21:00:00,FR,64685.0
2018-01-23 03:00:00,FR,54034.0
2018-01-24 15:00:00,FR,61967.0
2018-01-25 03:00:00,FR,52504.0
2018-01-26 09:00:00,FR,72916.0
2018-01-14 12:00:00,FR,68198.0
2018-01-15 17:00:00,FR,72499.0
2018-01-15 19:00:00,FR,75838.0
2018-01-17 04:00:00,FR,57430.0
2018-01-17 11:00:00,FR,74270.0
2018-01-17 20:00:00,FR,72293.0
2018-01-17 21:00:00,FR,68245.0
2018-01-27 17:00:00,FR,62141.0
2018-01-27 19:00:00,FR,68038.0
2018-01-28 08:00:00,FR,57100.0
2018-01-28 09:00:00,FR,59643.0
2018-01-29 17:00:00,FR,66532.0
2018-01-30 00:00:00,FR,61800.0
2018-01-19 06:00:00,FR,65547.0
2018-01-20 01:00:00,FR,62310.0
2018-01-20 19:00:00,FR,66750.0
2018-01-21 04:00:00,FR,51330.0
2018-01-21 22:00:00,FR,60039.0
2018-01-22 02:00:00,FR,54347.0
2018-01-22 03:00:00,FR,51546.0
2018-01-30 16:00:00,FR,65996.0
2018-01-30 23:00:00,FR,64123.0
2018-01-31 04:00:00,FR,53581.0
2018-01-31 11:00:00,FR,71858.0
2018-01-31 20:00:00,FR,69644.0
2018-02-01 16:00:00,FR,68338.0
2018-02-01 23:00:00,FR,70729.0
2018-02-02 04:00:00,FR,61345.0
2018-02-02 22:00:00,FR,70860.0
2018-02-03 10:00:00,FR,70988.0
2018-01-22 21:00:00,FR,62836.0
2018-01-24 17:00:00,FR,63268.0
2018-01-24 19:00:00,FR,69247.0
2018-01-26 04:00:00,FR,54554.0
2018-01-26 11:00:00,FR,72714.0
2018-02-03 18:00:00,FR,70749.0
2018-02-05 10:00:00,FR,82767.0
2018-02-07 21:00:00,FR,78285.0
2018-01-26 20:00:00,FR,68820.0
2018-01-28 06:00:00,FR,54247.0
2018-01-29 13:00:00,FR,69608.0
2018-01-30 22:00:00,FR,63503.0
2018-01-31 05:00:00,FR,56245.0
2018-02-07 22:00:00,FR,78421.0
2018-02-07 23:00:00,FR,79332.0
2018-02-08 09:00:00,FR,87434.0
2018-02-08 10:00:00,FR,86820.0
2018-02-08 18:00:00,FR,83841.0
2018-02-09 21:00:00,FR,76057.0
2018-02-09 22:00:00,FR,76770.0
2018-02-10 10:00:00,FR,76291.0
2018-02-14 00:00:00,FR,74571.0
2018-02-15 03:00:00,FR,63864.0
2018-02-15 20:00:00,FR,71607.0
2018-01-31 07:00:00,FR,68242.0
2018-01-31 14:00:00,FR,69696.0
2018-01-31 15:00:00,FR,67887.0
2018-02-02 08:00:00,FR,78458.0
2018-02-02 09:00:00,FR,78548.0
2018-02-04 00:00:00,FR,67365.0
2018-01-02 03:00:00,FR,50818.0
2018-01-03 04:00:00,FR,49848.0
2018-01-03 11:00:00,FR,67195.0
2018-01-03 22:00:00,FR,62580.0
2018-01-04 03:00:00,FR,52669.0
2018-01-01 04:00:00,FR,49370.0
2018-01-01 11:00:00,FR,54412.0
2018-01-01 20:00:00,FR,59658.0
2018-01-02 01:00:00,FR,54574.0
2018-01-03 06:00:00,FR,56555.0
2018-01-04 01:00:00,FR,57457.0
2018-01-04 19:00:00,FR,67314.0
2018-01-05 06:00:00,FR,57065.0
2018-01-01 01:00:00,FR,56036.0
2018-01-02 04:00:00,FR,50129.0
2018-01-02 11:00:00,FR,67635.0
2018-01-02 20:00:00,FR,64126.0
2018-01-03 15:00:00,FR,65170.0
2018-01-04 16:00:00,FR,62132.0
2018-01-01 08:00:00,FR,49360.0
2018-01-02 13:00:00,FR,67686.0
2018-01-03 16:00:00,FR,64679.0
2018-01-03 23:00:00,FR,63484.0
2018-01-04 07:00:00,FR,61599.0
2018-01-04 15:00:00,FR,62970.0
2018-01-05 10:00:00,FR,65996.0
2018-01-01 12:00:00,FR,57142.0
2018-01-01 09:00:00,FR,50058.0
2018-01-02 09:00:00,FR,64712.0
2018-01-03 17:00:00,FR,67336.0
2018-01-03 19:00:00,FR,69914.0
2018-01-04 17:00:00,FR,64370.0
2018-01-05 00:00:00,FR,58620.0
2018-01-01 22:00:00,FR,58405.0
2018-01-02 10:00:00,FR,66170.0
2018-01-01 02:00:00,FR,54494.0
2018-01-01 03:00:00,FR,51574.0
2018-01-01 21:00:00,FR,57597.0
2018-01-02 17:00:00,FR,65924.0
2018-01-02 19:00:00,FR,67828.0
2018-01-03 08:00:00,FR,63957.0
2018-01-03 09:00:00,FR,65285.0
2018-01-04 08:00:00,FR,64310.0
2018-01-04 09:00:00,FR,65288.0
2018-01-05 04:00:00,FR,50574.0
2018-01-02 06:00:00,FR,56444.0
2018-01-03 13:00:00,FR,67995.0
2018-01-04 10:00:00,FR,66158.0
2018-01-04 18:00:00,FR,67226.0
2018-01-05 02:00:00,FR,54012.0
2018-01-05 03:00:00,FR,51334.0
2018-01-05 21:00:00,FR,60978.0
2018-01-07 08:00:00,FR,52808.0
2018-01-07 09:00:00,FR,55381.0
2018-01-09 04:00:00,FR,56447.0
2018-01-09 11:00:00,FR,73915.0
2018-01-02 16:00:00,FR,63700.0
2018-01-02 23:00:00,FR,61401.0
2018-01-03 03:00:00,FR,50731.0
2018-01-04 04:00:00,FR,51616.0
2018-01-04 22:00:00,FR,60575.0
2018-01-01 17:00:00,FR,56686.0
2018-01-01 19:00:00,FR,61285.0
2018-01-02 02:00:00,FR,53222.0
2018-01-02 21:00:00,FR,60411.0
2018-01-03 00:00:00,FR,58355.0
2018-01-03 05:00:00,FR,51978.0
2018-01-03 07:00:00,FR,60765.0
2018-01-03 14:00:00,FR,66713.0
2018-01-04 00:00:00,FR,60364.0
2018-01-04 05:00:00,FR,53486.0
2018-01-04 14:00:00,FR,65237.0
2018-01-04 23:00:00,FR,61688.0
2018-01-01 05:00:00,FR,49000.0
2018-01-01 07:00:00,FR,49528.0
2018-01-01 14:00:00,FR,54628.0
2018-01-01 15:00:00,FR,53357.0
2018-01-02 00:00:00,FR,56745.0
2018-01-02 05:00:00,FR,52338.0
2018-01-02 07:00:00,FR,60260.0
2018-01-02 14:00:00,FR,65983.0
2018-01-03 02:00:00,FR,53553.0
2018-01-03 20:00:00,FR,66057.0
2018-01-03 21:00:00,FR,62451.0
2018-01-04 02:00:00,FR,55655.0
2018-01-04 11:00:00,FR,67196.0
2018-01-04 20:00:00,FR,64130.0
2018-01-04 21:00:00,FR,60566.0
2018-01-05 08:00:00,FR,64516.0
2018-01-01 10:00:00,FR,51855.0
2018-01-01 18:00:00,FR,60125.0
2018-01-02 22:00:00,FR,60433.0
2018-01-03 12:00:00,FR,68585.0
2018-01-01 13:00:00,FR,56650.0
2018-01-02 08:00:00,FR,62913.0
2018-01-02 18:00:00,FR,68326.0
2018-01-03 01:00:00,FR,55309.0
2018-01-04 06:00:00,FR,57700.0
2018-01-05 05:00:00,FR,52578.0
2018-01-05 07:00:00,FR,61604.0
2018-01-05 14:00:00,FR,64100.0
2018-01-05 15:00:00,FR,62366.0
2018-02-16 08:00:00,FR,75735.0
2018-02-17 03:00:00,FR,56075.0
2018-02-17 04:00:00,FR,54823.0
2018-02-17 20:00:00,FR,65267.0
2018-02-19 14:00:00,FR,73530.0
2018-02-19 19:00:00,FR,77196.0
2018-02-20 02:00:00,FR,62742.0
2018-02-04 16:00:00,FR,62013.0
2018-02-04 23:00:00,FR,71253.0
2018-02-05 15:00:00,FR,78853.0
2018-02-06 10:00:00,FR,83416.0
2018-02-06 18:00:00,FR,84563.0
2018-02-08 12:00:00,FR,85316.0
2018-02-08 23:00:00,FR,78909.0
2018-02-09 00:00:00,FR,76255.0
2018-01-06 04:00:00,FR,50491.0
2018-01-06 11:00:00,FR,62710.0
2018-01-06 20:00:00,FR,61477.0
2018-01-07 16:00:00,FR,56786.0
2018-01-07 23:00:00,FR,61955.0
2018-01-08 16:00:00,FR,67984.0
2018-01-09 06:00:00,FR,65465.0
2018-02-20 12:00:00,FR,75324.0
2018-02-20 23:00:00,FR,70607.0
2018-02-22 12:00:00,FR,80478.0
2018-02-22 23:00:00,FR,76559.0
2018-02-23 09:00:00,FR,84226.0
2018-02-23 11:00:00,FR,81985.0
2018-02-23 18:00:00,FR,77999.0
2018-02-24 06:00:00,FR,69712.0
2018-01-05 16:00:00,FR,61768.0
2018-01-05 23:00:00,FR,62881.0
2018-01-06 00:00:00,FR,59790.0
2018-01-06 16:00:00,FR,57881.0
2018-01-06 23:00:00,FR,61509.0
2018-01-07 04:00:00,FR,49268.0
2018-01-07 11:00:00,FR,60909.0
2018-01-07 22:00:00,FR,60876.0
2018-01-08 04:00:00,FR,52632.0
2018-02-10 06:00:00,FR,69364.0
2018-02-10 17:00:00,FR,68032.0
2018-02-11 08:00:00,FR,63511.0
2018-02-12 21:00:00,FR,74073.0
2018-02-12 22:00:00,FR,74625.0
2018-02-13 02:00:00,FR,70820.0
2018-02-13 07:00:00,FR,82252.0
2018-02-13 15:00:00,FR,78344.0
2018-02-13 16:00:00,FR,77458.0
2018-02-15 01:00:00,FR,68873.0
2018-02-17 12:00:00,FR,68009.0
2018-01-07 01:00:00,FR,56069.0
2018-01-08 13:00:00,FR,71900.0
2018-01-09 02:00:00,FR,59781.0
2018-01-09 03:00:00,FR,57149.0
2018-02-17 23:00:00,FR,66476.0
2018-02-19 06:00:00,FR,67358.0
2018-02-19 17:00:00,FR,70939.0
2018-02-20 03:00:00,FR,60059.0
2018-02-20 04:00:00,FR,59256.0
2018-02-20 20:00:00,FR,73242.0
2018-02-21 21:00:00,FR,72860.0
2018-02-21 22:00:00,FR,73314.0
2018-02-24 17:00:00,FR,66276.0
2018-02-25 09:00:00,FR,70882.0
2018-02-25 10:00:00,FR,71727.0
2018-02-25 18:00:00,FR,69718.0
2018-02-26 17:00:00,FR,79670.0
2018-03-03 08:00:00,FR,67953.0
2018-03-05 08:00:00,FR,72379.0
2018-01-09 20:00:00,FR,69795.0
2018-01-11 08:00:00,FR,73639.0
2018-01-11 18:00:00,FR,75160.0
2018-01-12 01:00:00,FR,62453.0
2018-01-12 19:00:00,FR,75007.0
2018-01-13 22:00:00,FR,65770.0
2018-03-06 14:00:00,FR,67406.0
2018-03-06 19:00:00,FR,72934.0
2018-03-07 02:00:00,FR,60256.0
2018-03-07 07:00:00,FR,69650.0
2018-03-07 15:00:00,FR,65488.0
2018-03-07 16:00:00,FR,63970.0
2018-03-08 04:00:00,FR,58935.0
2018-03-08 13:00:00,FR,68544.0
2018-03-09 02:00:00,FR,59015.0
2018-03-09 12:00:00,FR,68268.0
2018-01-05 11:00:00,FR,66637.0
2018-01-05 20:00:00,FR,64128.0
2018-01-06 06:00:00,FR,53046.0
2018-01-07 10:00:00,FR,58377.0
2018-01-07 18:00:00,FR,63744.0
2018-01-08 10:00:00,FR,72189.0
2018-01-08 18:00:00,FR,74731.0
2018-01-05 09:00:00,FR,65528.0
2018-01-06 10:00:00,FR,61616.0
2018-01-07 17:00:00,FR,59542.0
2018-01-07 19:00:00,FR,64960.0
2018-01-05 22:00:00,FR,61638.0
2018-01-06 17:00:00,FR,60544.0
2018-01-06 19:00:00,FR,64039.0
2018-01-08 17:00:00,FR,70686.0
2018-01-14 05:00:00,FR,56106.0
2018-01-14 07:00:00,FR,58520.0
2018-01-14 14:00:00,FR,62287.0
2018-01-14 15:00:00,FR,60013.0
2018-01-15 10:00:00,FR,74915.0
2018-01-16 17:00:00,FR,69491.0
2018-01-18 00:00:00,FR,65507.0
2018-03-09 23:00:00,FR,61462.0
2018-03-10 11:00:00,FR,58109.0
2018-03-10 13:00:00,FR,57455.0
2018-03-11 01:00:00,FR,51507.0
2018-03-11 06:00:00,FR,45758.0
2018-03-12 05:00:00,FR,49968.0
2018-03-13 06:00:00,FR,60913.0
2018-03-13 17:00:00,FR,59396.0
2018-03-14 05:00:00,FR,57248.0
2018-03-15 21:00:00,FR,60667.0
2018-03-15 22:00:00,FR,60695.0
2018-02-22 14:00:00,FR,75551.0
2018-02-22 19:00:00,FR,82499.0
2018-02-24 11:00:00,FR,74865.0
2018-02-24 13:00:00,FR,72471.0
2018-02-28 09:00:00,FR,94492.0
2018-02-28 10:00:00,FR,94354.0
2018-02-28 18:00:00,FR,91637.0
2018-03-01 03:00:00,FR,77580.0
2018-03-01 04:00:00,FR,76266.0
2018-03-01 20:00:00,FR,82382.0
2018-03-02 05:00:00,FR,70400.0
2018-03-20 00:00:00,FR,70515.0
2018-03-20 15:00:00,FR,71795.0
2018-03-21 19:00:00,FR,76786.0
2018-03-22 00:00:00,FR,70193.0
2018-03-22 02:00:00,FR,67234.0
2018-03-22 07:00:00,FR,76345.0
2018-01-18 16:00:00,FR,67099.0
2018-01-18 23:00:00,FR,66511.0
2018-01-19 01:00:00,FR,61126.0
2018-01-20 06:00:00,FR,58628.0
2018-01-21 13:00:00,FR,62316.0
2018-03-22 15:00:00,FR,68985.0
2018-03-22 16:00:00,FR,67854.0
2018-03-23 03:00:00,FR,60872.0
2018-03-23 04:00:00,FR,60200.0
2018-03-23 20:00:00,FR,69464.0
2018-03-24 01:00:00,FR,61260.0
2018-03-25 13:00:00,FR,57397.0
2018-03-26 01:00:00,FR,55314.0
2018-03-28 12:00:00,FR,67405.0
2018-03-28 21:00:00,FR,61833.0
