,obs_id,eqt_code_cat
0,0,10
1,1,15
2,2,0
3,3,13
4,4,0
5,5,11
6,6,15
7,7,7
8,8,23
9,9,19
10,10,13
11,11,18
12,12,11
13,13,16
14,14,14
15,15,12
16,16,15
17,17,10
18,18,5
19,19,7
20,20,4
21,21,19
22,22,13
23,23,18
24,24,19
25,25,8
26,26,8
27,27,0
28,28,0
29,29,11
30,30,9
31,31,21
32,32,8
33,33,13
34,34,11
35,35,0
36,36,7
37,37,13
38,38,9
39,39,19
40,40,10
41,41,23
42,42,19
43,43,20
44,44,9
45,45,12
46,46,17
47,47,5
48,48,9
49,49,22
50,50,8
51,51,7
52,52,19
53,53,3
54,54,5
55,55,3
56,56,2
57,57,7
58,58,3
59,59,19
60,60,20
61,61,16
62,62,0
63,63,18
64,64,10
65,65,6
66,66,6
67,67,0
68,68,21
69,69,0
70,70,8
71,71,12
72,72,8
73,73,4
74,74,0
75,75,5
76,76,20
77,77,20
78,78,17
79,79,20
80,80,3
81,81,18
82,82,5
83,83,3
84,84,20
85,85,17
86,86,11
87,87,2
88,88,14
89,89,6
90,90,5
91,91,21
92,92,13
93,93,1
94,94,13
95,95,4
96,96,11
97,97,15
98,98,9
99,99,23
100,100,22
101,101,22
102,102,9
103,103,20
104,104,20
105,105,20
106,106,0
107,107,9
108,108,10
109,109,11
110,110,5
111,111,16
112,112,0
113,113,3
114,114,17
115,115,10
116,116,22
117,117,10
118,118,14
119,119,13
120,120,6
121,121,21
122,122,9
123,123,14
124,124,0
125,125,12
126,126,7
127,127,16
128,128,21
129,129,2
130,130,5
131,131,10
132,132,5
133,133,1
134,134,9
135,135,0
136,136,23
137,137,19
138,138,19
139,139,0
140,140,6
141,141,11
142,142,14
143,143,22
144,144,21
145,145,19
146,146,1
147,147,21
148,148,14
149,149,22
150,150,17
151,151,9
152,152,23
153,153,8
154,154,12
155,155,14
156,156,17
157,157,5
158,158,7
159,159,10
160,160,10
161,161,7
162,162,14
163,163,23
164,164,21
165,165,10
166,166,19
167,167,1
168,168,15
169,169,22
170,170,4
171,171,19
172,172,15
173,173,14
174,174,18
175,175,16
176,176,18
177,177,19
178,178,9
179,179,16
180,180,4
181,181,12
182,182,4
183,183,1
184,184,23
185,185,13
186,186,20
187,187,1
188,188,15
189,189,10
190,190,6
191,191,5
192,192,6
193,193,17
194,194,9
195,195,10
196,196,2
197,197,11
198,198,17
199,199,1
200,200,6
201,201,14
202,202,15
203,203,2
204,204,10
205,205,21
206,206,8
207,207,20
208,208,4
209,209,12
210,210,3
211,211,12
212,212,17
213,213,2
214,214,18
215,215,21
216,216,12
217,217,4
218,218,4
219,219,18
220,220,5
221,221,8
222,222,6
223,223,17
224,224,7
225,225,9
226,226,13
227,227,7
228,228,15
229,229,12
230,230,16
231,231,23
232,232,18
233,233,21
234,234,16
235,235,5
236,236,16
237,237,12
238,238,18
239,239,22
240,240,8
241,241,3
242,242,19
243,243,14
244,244,0
245,245,20
246,246,22
247,247,23
248,248,10
249,249,13
250,250,16
251,251,15
252,252,0
253,253,3
254,254,12
255,255,4
256,256,23
257,257,17
258,258,2
259,259,20
260,260,7
261,261,19
262,262,21
263,263,1
264,264,3
265,265,6
266,266,10
267,267,16
268,268,18
269,269,9
270,270,10
271,271,14
272,272,19
273,273,8
274,274,12
275,275,2
276,276,11
277,277,7
278,278,13
279,279,15
280,280,23
281,281,4
282,282,23
283,283,0
284,284,17
285,285,16
286,286,9
287,287,16
288,288,5
289,289,2
290,290,11
291,291,14
292,292,20
293,293,4
294,294,21
295,295,10
296,296,21
297,297,3
298,298,17
299,299,21
300,300,3
301,301,5
302,302,10
303,303,22
304,304,8
305,305,21
306,306,14
307,307,10
308,308,1
309,309,22
310,310,17
311,311,13
312,312,22
313,313,6
314,314,2
315,315,23
316,316,1
317,317,1
318,318,4
319,319,13
320,320,13
321,321,7
322,322,18
323,323,13
324,324,10
325,325,8
326,326,5
327,327,0
328,328,20
329,329,16
330,330,2
331,331,12
332,332,7
333,333,18
334,334,3
335,335,0
336,336,22
337,337,21
338,338,22
339,339,10
340,340,23
341,341,14
342,342,3
343,343,17
344,344,7
345,345,10
346,346,6
347,347,15
348,348,16
349,349,20
350,350,3
351,351,12
352,352,15
353,353,15
354,354,19
355,355,6
356,356,21
357,357,16
358,358,8
359,359,18
360,360,12
361,361,18
362,362,0
363,363,12
364,364,20
365,365,6
366,366,12
367,367,18
368,368,21
369,369,5
370,370,5
371,371,23
372,372,0
373,373,15
374,374,1
375,375,7
376,376,18
377,377,19
378,378,16
379,379,6
380,380,3
381,381,15
382,382,8
383,383,4
384,384,21
385,385,21
386,386,9
387,387,14
388,388,2
389,389,11
390,390,4
391,391,15
392,392,13
393,393,20
394,394,8
395,395,2
396,396,17
397,397,7
398,398,11
399,399,12
400,400,4
401,401,14
402,402,9
403,403,1
404,404,0
405,405,10
406,406,23
407,407,3
408,408,14
409,409,15
410,410,8
411,411,13
412,412,20
413,413,4
414,414,4
415,415,9
416,416,22
417,417,18
418,418,18
419,419,19
420,420,16
421,421,22
422,422,21
423,423,21
424,424,14
425,425,8
426,426,15
427,427,13
428,428,16
429,429,15
430,430,0
431,431,11
432,432,20
433,433,10
434,434,23
435,435,14
436,436,13
437,437,22
438,438,9
439,439,13
440,440,23
441,441,7
442,442,23
443,443,9
444,444,12
445,445,21
446,446,0
447,447,22
448,448,23
449,449,6
450,450,21
451,451,1
